order_id,order_date,month,member_id,country,category,product,quantity,unit_price,total_sales
ORD-191161,2024-01-05,2024-01,1409,Germany,Home & Garden,Vase,9,370.87,3337.83
ORD-127824,2024-01-07,2024-01,7912,Canada,Electronics,Laptop,10,503.69,5036.9
ORD-895667,2024-01-15,2024-01,4257,Germany,Automotive,Wiper,1,298.74,298.74
ORD-207175,2024-01-05,2024-01,3615,France,Toys,Card Game,6,115.5,693.0
ORD-946335,2024-01-28,2024-01,2519,Australia,Toys,Puzzle,5,178.54,892.7
ORD-969693,2024-01-13,2024-01,1711,Sweden,Beauty,Shampoo,5,48.61,243.05
ORD-910620,2024-01-03,2024-01,6925,Italy,Office Supplies,Paper Clips,4,32.45,129.8
ORD-766563,2024-01-04,2024-01,5741,Netherlands,Clothing,Sneakers,8,196.26,1570.08
ORD-738720,2024-01-07,2024-01,6977,Australia,Food,Rice,2,68.67,137.34
ORD-330283,2024-01-15,2024-01,3803,UK,Automotive,Seat Cover,9,195.93,1763.37
ORD-380746,2024-01-02,2024-01,6313,Netherlands,Electronics,Headphones,7,1619.84,11338.88
ORD-249811,2024-01-21,2024-01,2084,Germany,Books,Dictionary,8,254.62,2036.96
ORD-549245,2024-01-18,2024-01,5339,Italy,Food,Olive Oil,10,56.2,562.0
ORD-214975,2024-01-17,2024-01,7543,UK,Sports,Water Bottle,1,251.82,251.82
ORD-590785,2024-01-03,2024-01,3504,India,Food,Spices,10,41.55,415.5
ORD-887352,2024-01-24,2024-01,9669,Mexico,Home & Garden,Plant Pot,9,66.13,595.17
ORD-857168,2024-01-14,2024-01,5371,France,Sports,Dumbbells,1,87.5,87.5
ORD-982554,2024-01-04,2024-01,5315,Brazil,Automotive,Air Freshener,5,436.55,2182.75
ORD-916449,2024-01-12,2024-01,9317,UK,Office Supplies,Paper Clips,9,383.63,3452.67
ORD-972064,2024-01-01,2024-01,9689,China,Electronics,Monitor,6,268.14,1608.84
ORD-867460,2024-01-19,2024-01,6038,Germany,Books,Novel,2,474.01,948.02
ORD-273148,2024-01-22,2024-01,8962,UK,Clothing,Jacket,9,242.89,2186.01
ORD-847581,2024-01-18,2024-01,5342,Germany,Automotive,Wiper,4,380.08,1520.32
ORD-335612,2024-01-17,2024-01,6107,China,Toys,Card Game,4,231.23,924.92
ORD-107540,2024-01-18,2024-01,2049,India,Sports,Yoga Mat,4,122.76,491.04
ORD-639131,2024-01-02,2024-01,2163,Canada,Electronics,Headphones,2,1726.29,3452.58
ORD-704201,2024-01-18,2024-01,4899,Germany,Home & Garden,Clock,10,74.83,748.3
ORD-790993,2024-01-14,2024-01,8744,Spain,Books,Journal,2,103.3,206.6
ORD-806073,2024-01-15,2024-01,8062,Japan,Sports,Bicycle Helmet,1,433.28,433.28
ORD-360735,2024-01-11,2024-01,2612,Italy,Electronics,Keyboard,2,1611.16,3222.32
ORD-361941,2024-01-14,2024-01,4139,UK,Books,Journal,8,99.91,799.28
ORD-197793,2024-01-21,2024-01,2235,USA,Beauty,Shampoo,1,499.65,499.65
ORD-161483,2024-01-16,2024-01,4872,China,Food,Spices,7,25.31,177.17
ORD-399105,2024-01-09,2024-01,3697,Japan,Toys,Board Game,8,463.99,3711.92
ORD-707314,2024-01-07,2024-01,7930,UK,Automotive,Oil Filter,1,155.39,155.39
ORD-994141,2024-01-02,2024-01,9883,USA,Electronics,Monitor,9,1189.15,10702.35
ORD-723939,2024-01-03,2024-01,9701,Brazil,Food,Organic Coffee,2,85.88,171.76
ORD-141672,2024-01-19,2024-01,2113,Canada,Books,Travel Guide,10,130.65,1306.5
ORD-350280,2024-01-09,2024-01,2343,Sweden,Toys,Card Game,6,110.09,660.54
ORD-888387,2024-01-21,2024-01,5351,Mexico,Toys,Lego Set,6,157.0,942.0
ORD-663750,2024-01-19,2024-01,2188,India,Electronics,Mouse,2,1992.39,3984.78
ORD-487477,2024-01-12,2024-01,4492,UK,Automotive,Floor Mat,4,441.62,1766.48
ORD-946305,2024-01-18,2024-01,5669,Netherlands,Food,Chocolate,10,71.84,718.4
ORD-377312,2024-01-22,2024-01,9666,Sweden,Electronics,Camera,3,251.99,755.97
ORD-313487,2024-01-10,2024-01,2891,France,Clothing,Jacket,6,306.37,1838.22
ORD-969634,2024-01-28,2024-01,5325,France,Automotive,Oil Filter,7,34.89,244.23
